Report generated on: 12-29-2022 11:25:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,total energy production (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-1-WORL-QBTU.A,    World,296.3424356,291.2937659,290.128203,293.047718,308.9468834,316.4925296,326.77104,334.398773,347.4260513,354.0364853,357.6579078,354.9531364,353.7276721,354.3861018,360.4427565,368.3400726,377.5186505,382.0654227,386.5962198,386.3867,399.5432742,405.2191265,407.0617188,422.7334243,445.0398125,460.9817015,473.3646374,481.9619898,495.3029326,492.727998,517.8563437,533.3323144,545.5966162,553.7450243,563.207886,568.3123474,564.492523,579.0744861,600.6668826,611.1215834,586.0864248,606.8165994
INTL.44-1-AFG-QBTU.A,        Afghanistan,0.072561156,0.092723655,0.095067867,0.09971282,0.099827343,0.12096783,0.120549769,0.114835081,0.121394396,0.119225624,0.1188327,0.020505266,0.016142546,0.016076218,0.016024056,0.011739326,0.012296322,0.011832376,0.01160289,0.011591797,0.011706709,0.007509175,0.007910394,0.007810977,0.007071475,0.007292053,0.00775063,0.013681757,0.014057641,0.018580139,0.026925794,0.041044212,0.037492263,0.040816563,0.044789507,0.042057997,0.049505118,0.059500543,0.063175856,0.05530024,0.010260242,0.041213085
INTL.44-1-ALB-QBTU.A,        Albania,0.15556162,0.158691383,0.205944156,0.234693222,0.191025062,0.191729938,0.196595523,0.202388064,0.186417418,0.19491629,0.127118514,0.095434061,0.065518504,0.062838406,0.066507093,0.067784409,0.082699872,0.073034572,0.065741101,0.067517188,0.060831838,0.051361074,0.051256018,0.068914543,0.071288461,0.070819582,0.068452497,0.042837194,0.052526936,0.064189184,0.098491169,0.0758569,0.084037874,0.105636486,0.092961941,0.102254704,0.125356216,0.08259616,0.116337106,0.091399758,0.089594086,0.119993451
INTL.44-1-DZA-QBTU.A,        Algeria,2.803017355,3.03753686,3.224933779,3.606400483,3.859176003,3.907465538,3.968324779,4.218086334,4.297753784,4.50230161,4.753325722,4.916138909,5.031036031,4.884225078,4.735645919,5.048140212,5.24830614,5.592121474,5.748692362,6.019446853,6.190571222,6.170157236,6.390558968,6.789041156,6.901127019,7.479709412,7.41833356,7.129614221,7.178403007,6.944768814,6.927837879,6.828492246,6.99940888,6.510417691,6.561749872,6.696192523,6.910709728,6.830371007,6.755066467,6.474600013,5.972769931,6.656881917
INTL.44-1-ASM-QBTU.A,        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5644E-06,0.000019082,0.00001902,0.000018638,0.000027696,0.000046065,0.00004552,0.000044525,0.000043865,0.000043865
INTL.44-1-AGO-QBTU.A,        Angola,0.335098042,0.291293691,0.276262403,0.395407667,0.462550452,0.511269369,0.621432995,0.789428936,0.989817324,0.990551233,1.037793714,1.092014754,1.152348788,1.112546212,1.169400603,1.404576668,1.542051564,1.548350845,1.595827317,1.614363748,1.622407299,1.609218911,1.941220672,1.956399876,2.293022933,2.697642343,3.058931213,3.758534061,4.231843792,4.062948516,4.138002845,3.816194126,3.890826609,3.932204112,3.802528446,3.949946917,3.93529724,3.899020984,3.814151292,3.526638469,3.159336901,2.824017641
INTL.44-1-ATA-QBTU.A,        Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000004758,4.7705E-06,0.000004755,0.000009319,0.000009232,0,0,0,0,0
INTL.44-1-ATG-QBTU.A,        Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9512E-06,0.000004858,0.000004758,5.7246E-06,0.000005706,4.99032E-05,0.00004616,5.65862E-05,0.00009104,0.000115765,0.000140368,0.000171249
INTL.44-1-ARG-QBTU.A,        Argentina,1.597945664,1.671287961,1.729804472,1.785477213,1.852960338,1.834828933,1.843831912,1.834331805,1.905589005,1.985573305,2.014908835,2.104290731,2.279998013,2.477087336,2.68610395,2.909387587,3.026477439,3.281810597,3.375681693,3.406472818,3.490954098,3.659136774,3.573788527,3.741183948,3.851594471,3.834087704,3.8904323,3.727031321,3.665090112,3.54648496,3.479453628,3.314248257,3.207304567,3.12684005,3.120516508,3.139683465,3.230273032,3.233848532,3.318160756,3.43406163,3.159079525,3.23367069
